token,frequency
miss,4
new,3
gold,2
peschier,2
olympic,2
one,2
rain,2
game,2
peru,2
world,2
last,2
high,2
career,2
going,1
hearing,1
ss,1
kenteris,1
arrived,1
shamed,1
angered,1
